,Base_exclusion,Fo_exclusion,Ba_exclusion
Embedding,0.45136938370368446,0.6096368094740902,0.6315471010671463
Rouge,0.18122293127763692,0.33488848059743226,0.3300843862399945
Tfidf,0.15748314892832047,0.2854375567652094,0.286212258448237
