,Base_linear,Fo_linear,Ba_linear
Embedding,0.4791546960328483,0.6524556864552608,0.6493572211694455
Rouge,0.22079140697776542,0.33568043334981074,0.34190761880918974
Tfidf,0.19877828971715278,0.2956923795296403,0.3027628802915408
