,Base_exclusion,Fo_exclusion,Ba_exclusion
Embedding,0.4562007014968063,0.6149271703927052,0.6467994930409406
Rouge,0.1841265592511867,0.3327703751203681,0.3536705387048096
Tfidf,0.16413232506319148,0.2899494958248624,0.30717137266268024
