,Base_exclusion,Fo_exclusion,Ba_exclusion
Embedding,0.4774356935558187,0.5983620790650811,0.642139280145509
Rouge,0.19684846727066357,0.3235358205539629,0.35146395167449046
Tfidf,0.1758654869730675,0.282103677035146,0.3050676528927293
