,Base_binary,Fo_binary,Ba_binary
Embedding,0.44096762163484915,0.6410123576589916,0.6411948047357661
Rouge,0.1827072759678342,0.33242833684956596,0.3391778045285174
Tfidf,0.16470532423416112,0.2922218655030984,0.2991939601262542
