,Base_exclusion,Fo_exclusion,Ba_exclusion
Embedding,0.777719259262085,0.777719259262085,0.777719259262085
Rouge,0.5034965034965034,0.5034965034965034,0.5034965034965034
Tfidf,0.20509838131261454,0.20509838131261454,0.20509838131261454
